DATE,DGS2
2019-10-01,1.56
2019-10-02,1.48
2019-10-03,1.39
2019-10-04,1.40
2019-10-07,1.46
2019-10-08,1.42
2019-10-09,1.47
2019-10-10,1.53
2019-10-11,1.63
2019-10-14,.
2019-10-15,1.61
2019-10-16,1.58
2019-10-17,1.60
2019-10-18,1.58
2019-10-21,1.62
2019-10-22,1.60
2019-10-23,1.58
2019-10-24,1.58
2019-10-25,1.63
2019-10-28,1.64
2019-10-29,1.64
2019-10-30,1.61
2019-10-31,1.52
2019-11-01,1.56
2019-11-04,1.60
2019-11-05,1.63
2019-11-06,1.61
2019-11-07,1.68
2019-11-08,1.68
2019-11-11,.
2019-11-12,1.66
2019-11-13,1.63
2019-11-14,1.58
2019-11-15,1.61
2019-11-18,1.60
2019-11-19,1.60
2019-11-20,1.56
2019-11-21,1.60
2019-11-22,1.61
2019-11-25,1.61
2019-11-26,1.58
2019-11-27,1.63
2019-11-28,.
2019-11-29,1.61
